,question,context,answer
1,What is the total number of transactions in the database?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT COUNT(*) As Total_Number_of_transactions FROM master_table;
2,What is the average transaction amount for each denomination?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT denomination_type, AVG(transaction_amount) AS average_amount FROM master_table GROUP BY denomination_type;"
3,Please identify the dates on which there were cash deposits or withdrawals made.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT date from master_table where transaction_type = 'deposits' or transaction_type='withdrawals';
4,Analyze the relationship between denomination type and transaction amount.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT denomination_type, AVG(transaction_amount) AS average_amount FROM master_table GROUP BY denomination_type ORDER BY average_amount DESC;"
5,Examine the relationship between denomination type and transaction amount to determine if higher denomination result in greater transaction amount.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT denomination_type, AVG(transaction_amount) AS average_amount FROM master_table GROUP BY denomination_type ORDER BY average_amount DESC;"
6,Show me which transactions are having highest denominations.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT transaction_id, denomination_type from master_table where denomination_type in (SELECT denomination_type from master_table group by denomination_type order by denomination_type DESC) order by denomination_type DESC;"
7,Which date has more number of transactions.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT Count(Date) as total_trans, Date from master_table group by Date ;"
8,More number of Denomination 50 used in which transaction.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT * from master_table where denomination_type=50;
9,Which transaction has a higher number of 10-denomination?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT * from master_table where denomination_type=10;
10,Can you please display the transaction type that has more than $20 denominations?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT DISTINCT(transaction_type) from master_table where denomination_type>20;
11,Can you please tell me the total number of transactions that have taken place with a 20 denomination?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT count(*) As Number_of_Transaction from master_table where denomination_type=20;
12,Which ATM model has more number of transactions,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT count(atm_model_name) As Number_of_Transaction, atm_model_name from master_table group by atm_model_name;"
13,Could you please let me know on which date there were more 20 denominations?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT count(date),date from master_table where denomination_type=20 group by date;"
14,What is the highest withdrawal denomination available?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT count(denomination_type),denomination_type from master_table where transaction_type='withdrawals' group by denomination_type;"
15,Could you please let me know the total number of distinct ATM models present in the system?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT COUNT(DISTINCT atm_model_name) FROM master_table;
16,Could you please provide me with information regarding the total amount of withdrawals on 2023-12-01?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT SUM(total_amount) FROM master_table WHERE date = '2023-12-01' and transaction_type='withdrawals';
17,List the top 5 ATMs with the highest transaction amounts.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT atm_model_name, total_amount FROM master_table ORDER BY total_amount DESC LIMIT 5;"
18,Find the average transaction amount for a ATM model name ATMITM111.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT AVG(transaction_amount) FROM master_table WHERE atm_model_name = 'ATMITM111';
19,How many transactions occurred in the last week?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","select count(*) As Number_of_transactions from master_table where Date >= date_sub(CURDATE(), INTERVAL 1 WEEK);"
20,Identify the dates with more than 100 transactions.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT date, count(*) As Number_of_transactions FROM master_table GROUP BY date HAVING COUNT(*) > 100;"
21,Find the total transaction amount of cash deposited on weekends.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT SUM(transaction_amount) FROM master_table WHERE DAYOFWEEK(date) IN (1, 7) AND transaction_type = 'deposits';"
22,List the ATM models with no withdrawals transactions.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT atm_model_name FROM master_table WHERE atm_model_name NOT IN (SELECT DISTINCT atm_model_name FROM master_table WHERE transaction_type = 'withdrawals');
23,Calculate the average transaction amount per day.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT AVG(transaction_amount) AS average_amount, date FROM master_table GROUP BY date;"
24,What is the total number of unique users in the system?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT COUNT(DISTINCT account_number) As Unique_records FROM master_table;
25,Find the total transaction amount of cash withdrawn by each user.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT transaction_id, SUM(transaction_amount) FROM master_table WHERE transaction_type = 'withdrawals' GROUP BY transaction_id;"
26,List the top 3 users with the highest transaction amounts.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT * FROM master_table ORDER BY transaction_amount DESC LIMIT 3;
27,Find the average transaction amount for a account number 123456.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT AVG(transaction_amount) As Avg_amount FROM master_table WHERE account_number = 123456;
28,Identify the users with more than 50 transactions.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT user_id FROM transactions GROUP BY user_id HAVING COUNT(*) > 50;
29,Find the total transaction amount of cash deposited on weekdays.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT SUM(transaction_amount) FROM master_table WHERE DAYOFWEEK(date) BETWEEN 2 AND 6 AND transaction_type = 'deposits';
30,List the transaction with no withdrawal transactions.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT transaction_id FROM master_table WHERE transaction_type != 'withdrawals';
31,Calculate the average transaction amount per account number.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT AVG(transaction_amount) AS average_amount, account_number FROM master_table GROUP BY account_number;"
32,Find the total amount of withdrawals for each denomination.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT denomination_type, SUM(transaction_amount) FROM master_table WHERE transaction_type = 'withdrawals' GROUP BY denomination_type;"
33,List the top 3 denominations with the highest transaction amount.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT denomination_type, transaction_amount FROM master_table ORDER BY transaction_amount DESC LIMIT 3;"
34,How many transactions occurred in the last 48 hours?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT COUNT(*) FROM master_table WHERE date >= NOW() - INTERVAL 48 HOUR;
35,Identify the denominations with more than 200 transactions.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT denomination_type FROM master_table GROUP BY denomination_type HAVING COUNT(*) > 200;
36,Find the total amount of cash deposited on even-numbered dates.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT SUM(transaction_amount) FROM master_table WHERE DAY(date) % 2 = 0 AND transaction_type = 'deposits';
37,List the denominations with no withdrawal transactions.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT denomination_type FROM master_table WHERE transaction_type != 'withdrawals';
38,Calculate the average transaction amount per denomination.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT AVG(transaction_amount) AS average_amount, denomination_id FROM master_table GROUP BY denomination_id;"
39,What are the unique transaction types in the system?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT DISTINCT transaction_type FROM master_table;
40,Find the total amount of cash withdrawn for each transaction type.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT transaction_type, SUM(transaction_amount) FROM master_table GROUP BY transaction_type;"
41,List the top 3 transaction types with the highest total transaction amounts.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT transaction_type, transaction_amount FROM master_table ORDER BY transaction_amount DESC LIMIT 3;"
42,How many transactions occurred in the last 3 months?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT COUNT(*) FROM master_table WHERE date >= NOW() - INTERVAL 3 MONTH;
43,Identify the transaction types with more than 50 transactions.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT transaction_type FROM master_table GROUP BY transaction_type HAVING COUNT(*) > 50;
